priority,action_lane,candidate_id,rank_state,pbcnet_support,gatekeeper_vault,tail_bridge,solvent_ledge,closed_loop_count,edge_degree,rbfe_edge_count,geometry,geometry_evidence_state,pose_evidence_state,water_evidence_state,water_context_requirement,water_context_state,negative_guardrails,wet_review_claim_state,shared_reference_state,shared_reference_rank_scope,shared_reference_delta_g_vs_anchor_kcal_per_mol,shared_reference_graph_path,shared_reference_interpretation,why_now,missing_evidence,next_action
5,rbfe_confirm,JTY027_aniline_diF_2Et_benzamide,official rank 2,0.983,0.98,0.12,0.1,0,0,0,PBCNet-only,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,top paired-model rank is PBCNet-only; direct RBFE edge or shared closed-loop evidence is missing,direct RBFE edge or shared closed graph before handoff language,queue RBFE or shared closed-loop confirmation before handoff
5,rbfe_confirm,JTY027_aniline_diF,official rank 3,0.961,0.76,0.28,0.1,0,0,0,PBCNet-only,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,top paired-model rank is PBCNet-only; direct RBFE edge or shared closed-loop evidence is missing,direct RBFE edge or shared closed graph before handoff language,queue RBFE or shared closed-loop confirmation before handoff
5,rbfe_confirm,JTY023_pyrazine_tail,official rank 3,0.825,0.24,0.98,0.1,3,25,0,PBCNet-only,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,top paired-model rank is PBCNet-only; direct RBFE edge or shared closed-loop evidence is missing,direct RBFE edge or shared closed graph before handoff language,queue RBFE or shared closed-loop confirmation before handoff
8,context,JTY027_aniline_diF_2Me_benzamide,official rank 6,0.907,0.9,0.12,0.1,0,0,0,context,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,keep visible only if a hypothesis needs this chemistry,no immediate blocker; low action value,keep as context unless hypothesis needs it
8,context,JTY027_26diF_benzamide,unranked context,0.35,0.9,0.12,0.1,0,0,0,context,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,keep visible only if a hypothesis needs this chemistry,no immediate blocker; low action value,keep as context unless hypothesis needs it
8,context,JTY027_2F6Me_benzamide,unranked context,0.35,0.9,0.12,0.22,0,0,0,context,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,halogen_vector_claims,blocked_from_halogen_vector_rationale_until_geometry_audit,not_applicable,,,,,keep visible only if a hypothesis needs this chemistry,no immediate blocker; low action value,keep as context unless hypothesis needs it
8,context,JTY027_2F_benzamide,unranked context,0.35,0.9,0.12,0.22,0,0,0,context,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,halogen_vector_claims,blocked_from_halogen_vector_rationale_until_geometry_audit,not_applicable,,,,,keep visible only if a hypothesis needs this chemistry,no immediate blocker; low action value,keep as context unless hypothesis needs it
8,context,JTY027_2Me_benzamide,unranked context,0.35,0.9,0.12,0.1,0,0,0,context,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,keep visible only if a hypothesis needs this chemistry,no immediate blocker; low action value,keep as context unless hypothesis needs it
8,context,JTY027_2OMe_benzamide,unranked context,0.35,0.9,0.12,0.1,0,0,0,context,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,keep visible only if a hypothesis needs this chemistry,no immediate blocker; low action value,keep as context unless hypothesis needs it
8,context,JTY027_aniline_diF_2OcPr_benzamide,unranked context,0.35,0.9,0.12,0.5,0,0,0,context,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,required: water/site perception or contact-map overlay before wet-review claim,context_required,solvent_ledge_water_shell_probes,blocked_until_water_site_or_contact_overlay,not_applicable,,,,,keep visible only if a hypothesis needs this chemistry,no immediate blocker; low action value,keep as context unless hypothesis needs it
8,context,JTY027_aniline_diF_2cPr_benzamide,unranked context,0.35,0.9,0.12,0.1,0,0,0,context,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,keep visible only if a hypothesis needs this chemistry,no immediate blocker; low action value,keep as context unless hypothesis needs it
