candidate_id,family,chemistry_class,pbcnet_support,pbcnet_score,pbcnet_rank,panel_local_score_rank,rank_scope,admet_gate_state,admet_property_role,admet_risk_norm,solubility_status,permeability_status,toxicity_status,toxicity_decision,admet_property_packet_schema,admet_property_packet_proof_path,gatekeeper_vault,tail_bridge,solvent_ledge,closed_loop_count,edge_degree,runtime_pair_degree,rbfe_edge_count,min_protein_distance_A,clash_count_lt_2p2A,near_contact_count_lt_3p5A,geometry_evidence_state,pose_evidence_state,water_evidence_state,water_context_requirement,water_context_state,negative_guardrails,wet_review_claim_state,shared_reference_state,shared_reference_rank_scope,shared_reference_delta_g_vs_anchor_kcal_per_mol,shared_reference_graph_path,shared_reference_interpretation,readout,next_action
JTY027_aniline_diF_2Cl_benzamide,JTY027,benzamide,0.688,0.5281226031732139,9.0,9.0,official_series_pbcnet_rank,hold,tox_lipophilicity_contrast,0.5505,hold,review,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json,0.9,0.12,0.22,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,halogen_vector_claims,blocked_from_halogen_vector_rationale_until_geometry_audit,not_applicable,,,,,pose missing,recover docked pose before geometry claims
JTY023_4F_pyridyl_tail,JTY023,tail,0.919,-0.030646897191481476,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,3,25,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,pose missing,recover docked pose before geometry claims
JTY023_4Br_pyridyl_tail,JTY023,tail,0.907,0.0,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,5,43,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,pose missing,recover docked pose before geometry claims
JTY023_5F_pyrimidyl_tail,JTY023,tail,0.78,0.3062396714551621,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,2,16,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,pose missing,recover docked pose before geometry claims
JTY023_4CN_pyridyl_tail,JTY023,tail,0.677,0.5537170037309902,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,2,18,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,pose missing,recover docked pose before geometry claims
JTY023_4OCF3_pyridyl_tail,JTY023,tail,0.661,0.5935679368931543,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.5,4,34,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,pose missing,recover docked pose before geometry claims
JTY023_3Cl_pyridyl_tail,JTY023,tail,0.65,0.6188211821619198,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,1,9,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,pose missing,recover docked pose before geometry claims
JTY026_pyridyl_tail,JTY026,tail,0.598,0.7453976279178202,,5.0,panel_local_relative_ddg_rank,not_assessed,not_assessed,,,,,,,,0.16,0.98,0.1,3,25,0,0,,0,0,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,panel-local only,share reference frame before ranking
JTY023_imidazole_tail,JTY023,tail,0.581,0.7857439958081935,,1.0,panel_local_relative_ddg_rank,not_assessed,not_assessed,,,,,,,,0.16,0.98,0.1,2,16,0,0,,0,0,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,panel-local only,share reference frame before ranking
JTY023_4Br_pyrazinyl_tail,JTY023,tail,0.562,0.8315123094946836,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,4,34,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,pose missing,recover docked pose before geometry claims
JTY023_4CF3_pyridyl_tail,JTY023,tail,0.528,0.9125000596668134,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.5,2,18,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,pose missing,recover docked pose before geometry claims
JTY023_4Cl_pyridyl_tail,JTY023,tail,0.458,1.082219545104205,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,4,34,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,pose missing,recover docked pose before geometry claims
JTY026_triazine_tail,JTY026,tail,0.419,1.1764787719796272,,2.0,panel_local_relative_ddg_rank,not_assessed,not_assessed,,,,,,,,0.16,0.98,0.1,4,34,0,0,,0,0,not_evaluated_no_receptor_atoms,observed_docked_pose,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,panel-local only,share reference frame before ranking
JTY023_triazole_tail,JTY023,tail,0.397,1.230150818146739,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,1,9,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,no_explicit_receptor_waters,not_required,not_required,none,not_claimed,not_applicable,,,,,pose missing,recover docked pose before geometry claims
JTY023_2Br5F_pyrimidyl_tail,JTY023,tail,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY023_2Cl5F_pyrimidyl_tail,JTY023,tail,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.22,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,halogen_vector_claims,blocked_from_halogen_vector_rationale_until_geometry_audit,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY023_2F5F_pyrimidyl_tail,JTY023,tail,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.22,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,halogen_vector_claims,blocked_from_halogen_vector_rationale_until_geometry_audit,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY023_5Br_pyrimidyl_tail,JTY023,tail,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY023_5CF3_pyrimidyl_tail,JTY023,tail,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.5,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY023_5CN_pyrimidyl_tail,JTY023,tail,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY023_5Cl_pyrimidyl_tail,JTY023,tail,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY023_5Et_pyrimidyl_tail,JTY023,tail,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY023_5I_pyrimidyl_tail,JTY023,tail,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY023_5Me_pyrimidyl_tail,JTY023,tail,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY023_5OCF3_pyrimidyl_tail,JTY023,tail,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.5,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY023_pyrazole_tail,JTY023,tail,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY023_pyridazine_tail,JTY023,tail,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY023_pyridyl_tail,JTY023,tail,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY023_pyrimidine_tail,JTY023,tail,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY023_thiazole_tail,JTY023,tail,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY024_NMe_formamide_cap,JTY024,cap,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.12,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY024_cyclopropanecarboxamide_cap,JTY024,cap,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.12,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY024_formamide_cap,JTY024,cap,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.12,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY024_hydroxymethyl_cap,JTY024,cap,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.12,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY024_urea_cap,JTY024,cap,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.12,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY026_monoF_aniline,JTY026,aniline,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.34,0.48,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY026_oxazole_tail,JTY026,tail,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY027_26diF_benzamide,JTY027,benzamide,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.9,0.12,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY027_2F6Me_benzamide,JTY027,benzamide,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.9,0.12,0.22,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,halogen_vector_claims,blocked_from_halogen_vector_rationale_until_geometry_audit,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY027_2F_benzamide,JTY027,benzamide,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.9,0.12,0.22,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,halogen_vector_claims,blocked_from_halogen_vector_rationale_until_geometry_audit,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY027_2Me_benzamide,JTY027,benzamide,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.9,0.12,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY027_2OMe_benzamide,JTY027,benzamide,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.9,0.12,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY027_aniline_diF_2OcPr_benzamide,JTY027,benzamide,0.35,,,,missing_pbcnet_score,not_assessed,not_assessed,,,,,,,,0.9,0.12,0.5,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,required: water/site perception or contact-map overlay before wet-review claim,context_required,solvent_ledge_water_shell_probes,blocked_until_water_site_or_contact_overlay,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY027_aniline_diF_2cPr_benzamide,JTY027,benzamide,0.35,,,,missing_pbcnet_score,not_assessed,not_assessed,,,,,,,,0.9,0.12,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY027_aniline_diF_deCl,JTY027,aniline,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.68,0.12,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY027_aniline_diF_deCl_26diF_benzamide,JTY027,benzamide,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.9,0.12,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY027_aniline_diF_deCl_2F6Me_benzamide,JTY027,benzamide,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.9,0.12,0.22,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,halogen_vector_claims,blocked_from_halogen_vector_rationale_until_geometry_audit,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY027_aniline_diF_deCl_2F_benzamide,JTY027,benzamide,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.9,0.12,0.22,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,halogen_vector_claims,blocked_from_halogen_vector_rationale_until_geometry_audit,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY027_aniline_diF_deCl_2Me_benzamide,JTY027,benzamide,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.9,0.12,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY027_aniline_diF_deCl_2OMe_benzamide,JTY027,benzamide,0.35,,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.9,0.12,0.1,0,0,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,context,keep as context unless hypothesis needs it
JTY023_tetrazole_tail,JTY023,tail,0.326,1.4000780970953692,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,1,9,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,pose missing,recover docked pose before geometry claims
JTY023_4Me_pyridyl_tail,JTY023,tail,0.261,1.5579952059404405,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,1,9,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,pose missing,recover docked pose before geometry claims
JTY023_3Br_pyridyl_tail,JTY023,tail,0.094,1.9606599416898778,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,4,34,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,pose missing,recover docked pose before geometry claims
JTY023_4Br_pyrimidyl_tail,JTY023,tail,0.06,2.0424032545870876,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,4,34,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,pose missing,recover docked pose before geometry claims
JTY023_oxadiazole_tail,JTY023,tail,0.004,2.17832577775485,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,2,16,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,pose missing,recover docked pose before geometry claims
JTY023_4I_pyridyl_tail,JTY023,tail,0.0,2.187399247516919,,,not_ranked,not_assessed,not_assessed,,,,,,,,0.16,0.8,0.1,4,34,0,0,,0,0,not_evaluated_no_docked_pose,no_docked_pose_artifact,not_probe,not_required,not_required,none,not_claimed,not_applicable,,,,,pose missing,recover docked pose before geometry claims
